region_code,region,location_code,location,period,gender,gender_code,life_expect_birth
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,Both sexes,BTSX,73.95
AFR,Africa,CPV,Cabo Verde,2019,Both sexes,BTSX,74.03
EMR,Eastern Mediterranean,LBN,Lebanon,2019,Male,MLE,74.03
AFR,Africa,MUS,Mauritius,2019,Both sexes,BTSX,74.07
EUR,Europe,AZE,Azerbaijan,2019,Female,FMLE,74.09
EMR,Eastern Mediterranean,EGY,Egypt,2019,Female,FMLE,74.14
EUR,Europe,KGZ,Kyrgyzstan,2019,Both sexes,BTSX,74.18
EMR,Eastern Mediterranean,LBY,Libya,2019,Male,MLE,74.21
SEAR,South-East Asia,BGD,Bangladesh,2019,Both sexes,BTSX,74.25
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Female,FMLE,74.26
EMR,Eastern Mediterranean,MAR,Morocco,2019,Female,FMLE,74.31
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2019,Both sexes,BTSX,74.31
AMR,Americas,BRB,Barbados,2019,Male,MLE,74.32
WPR,Western Pacific,BRN,Brunei Darussalam,2019,Both sexes,BTSX,74.32
AMR,Americas,LCA,Saint Lucia,2019,Both sexes,BTSX,74.33
AMR,Americas,JAM,Jamaica,2019,Male,MLE,74.36
SEAR,South-East Asia,THA,Thailand,2019,Male,MLE,74.36
EUR,Europe,BIH,Bosnia and Herzegovina,2019,Male,MLE,74.38
SEAR,South-East Asia,BTN,Bhutan,2019,Female,FMLE,74.39
AMR,Americas,BLZ,Belize,2019,Both sexes,BTSX,74.41
EUR,Europe,POL,Poland,2019,Male,MLE,74.53
AMR,Americas,SUR,Suriname,2019,Female,FMLE,74.63
EUR,Europe,EST,Estonia,2019,Male,MLE,74.7
WPR,Western Pacific,MYS,Malaysia,2019,Both sexes,BTSX,74.72
WPR,Western Pacific,CHN,China,2019,Male,MLE,74.73
EUR,Europe,BLR,Belarus,2019,Both sexes,BTSX,74.81
